,original_title,id,runtime,genres,budget,revenue,vote_average,vote_count,popularity,year,month,day,fixed_budget,fixed_revenue,fixed_gross,gross_factor,pop_factor,freshness_factor,runtime_factor,goodness_factor,predicted_goodness
101,The Legend of the Lone Ranger,38665,98,"Action,Adventure,Romance,Western",18000000,2945600,4.8,31,4.412,1981,8,20,58991452.85258681,9653623.529032212,-49337829.323554605,8.751632630706906,3.998655298516538,0.0,5.050343552158344,4.450157870345446,7.031465565831306
102,Under the Rainbow,47941,98,Comedy,20000000,2297493,5.1,20,3.334,1981,7,31,65546058.725096494,7529580.554924906,-58016478.17017159,8.73468302330956,3.696809759408912,0.0,5.050343552158344,4.370459083719204,6.9969306981543795
103,Heartbeeps,73247,79,"Comedy,Romance,Family",10000000,2154696,3.8,15,1.294,1981,12,18,32773029.362548247,7061591.527536528,-25711437.83501172,8.79480458872174,3.231671187729136,0.0,3.751128267172199,3.944401010905769,7.054387836774885
104,This Is Elvis,109264,110,"Drama,Music,Documentary",5000000,2028612,6.8,18,2.431,1981,4,3,16386514.681274123,6648376.064121773,-9738138.617152352,8.821826426097381,3.842542099406797,0.0,10.0,5.666092131376045,7.104637810741837
105,Sphinx,47890,118,"Adventure,Mystery,Thriller",14000000,2022771,5.6,11,1.748,1981,2,11,45882241.10756756,6629233.337671108,-39253007.769896455,8.770564875090729,3.293706500172288,0.0,5.518218854984392,4.395622557561852,6.990753450423768
106,Roar,2989,102,"Adventure,Comedy,Thriller",17000000,2000000,5.9,84,7.359,1981,11,12,55714149.91633204,6554605.87250965,-49159544.04382239,8.75197427594717,4.960363851557823,0.0,5.563482061211881,4.818955047179219,7.147585776181375
107,Quella villa accanto al cimitero,28794,87,Horror,786801,1845819,6.1,291,9.155,1981,8,14,2578585.2275482337,6049308.028494945,3470722.800946711,8.84301703602014,5.9801641038935776,0.0,4.179641981136561,4.750705780262569,7.17484445453789
108,Lion of the Desert,26843,173,"Action,History,War",35000000,1500000,7.3,126,10.254,1981,4,17,114705602.76891886,4915954.404382235,-109789648.36453664,8.617825227118603,5.4546498892156805,0.0,2.6014856819624725,4.1684901995741885,7.095634362878564
109,Goodbye Pork Pie,16124,105,"Adventure,Comedy",300000,1400000,6.6,18,3.315,1981,2,5,983190.8808764472,4588224.110756757,3605033.2298803097,8.843227504988002,3.8186801806508592,0.0,6.1411597720741495,4.700766864428253,6.961645719292956
110,Eyes of a Stranger,79649,84,"Horror,Thriller",800000,1118634,6.0,45,3.039,1981,2,11,2621842.34900386,3666102.492794482,1044260.1437906222,8.839197780984655,4.474902182315223,0.0,4.006377390815473,4.330119338528838,6.941973887969366
