,id,original_title,release_date,runtime,genres,budget,revenue,vote_average,vote_count,popularity,overview
3036,24206,Silent Trigger,1996-06-26,93,"Drama,Action,Thriller",15000000,76382,5.0,62,4.513,"Waxman is a former Special Forces soldier who is now working as a heavily armed assassin for a top secret government agency. When a covert mission goes terribly wrong, Waxman and fellow assassin Clegg become that agency's prime targets."
3038,12241,Curdled,1996-09-06,88,"Comedy,Crime,Thriller",2300000,49620,5.9,94,6.608,"Gabriela, a Columbian immigrant, is obsessed with understanding violent crime. The current string of murders by ""The Blue Blood Killer"" of affluent Miami socialites provides her with fodder for her scrapbook of death. She lands a job with a post-murder cleaning service and during a Blue-Blood clean-up job, discovers evidence that police have overlooked."
3041,32686,Gray's Anatomy,1996-09-11,80,"Documentary,Comedy,Drama",350000,29090,6.7,27,12.061,"The film documents, in an often dramatic and humorous fashion, Gray's investigations into alternative medicine for an eye condition (Macular pucker) he had developed."
3090,597,Titanic,1997-11-18,194,"Drama,Romance",200000000,2187463944,7.9,21535,128.071,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912."
3091,330,The Lost World: Jurassic Park,1997-05-23,129,"Adventure,Action,Fiction",73000000,618638999,6.5,7098,2.23,"Four years after Jurassic Park's genetically bred dinosaurs ran amok, multimillionaire John Hammond shocks chaos theorist Ian Malcolm by revealing that he has been breeding more beasties at a secret location. Malcolm, his paleontologist ladylove and a wildlife videographer join an expedition to document the lethal lizards' natural behavior in this action-packed thriller."
3092,607,Men in Black,1997-07-02,98,"Action,Adventure,Comedy,Fiction",90000000,589390539,7.2,11917,39.531,"After a police chase with an otherworldly being, a New York City cop is recruited as an agent in a top-secret organization established to monitor and police alien activity on Earth: the Men in Black. Agent Kay and new recruit Agent Jay find themselves in the middle of a deadly plot by an intergalactic terrorist who has arrived on Earth to assassinate two ambassadors from opposing galaxies."
3093,714,Tomorrow Never Dies,1997-12-11,119,"Adventure,Action,Thriller",110000000,333011068,6.3,2536,21.709,A deranged media mogul is staging international incidents to pit the world's superpowers against each other. Now James Bond must take on this evil mastermind in an adrenaline-charged battle to end his reign of terror and prevent global pandemonium.
3094,9772,Air Force One,1997-07-25,124,"Action,Thriller",85000000,315156409,6.4,2428,21.148,"Russian terrorists conspire to hijack the aircraft with the president and his family on board. The commander in chief finds himself facing an impossible predicament: give in to the terrorists and sacrifice his family, or risk everything to uphold his principles - and the integrity of the nation."
3095,2898,As Good as It Gets,1997-12-19,139,"Comedy,Romance",50000000,314178011,7.4,3108,14.412,"New York City. Melvin Udall, a cranky, bigoted, obsessive-compulsive writer, finds his life turned upside down when neighboring gay artist Simon is hospitalized and his dog is entrusted to Melvin. In addition, Carol, the only waitress who will tolerate him, must leave work to care for her sick son, making it impossible for Melvin to eat breakfast."
3096,1624,Liar Liar,1997-03-21,86,Comedy,45000000,302710615,6.6,4713,26.712,"Fletcher Reede is a fast-talking attorney and habitual liar. When his son Max blows out the candles on his fifth birthday he has just one wish - that his dad will stop lying for 24 hours. When Max's wish comes true, Fletcher discovers that his mouth has suddenly become his biggest liability."
3097,8874,My Best Friend's Wedding,1997-06-19,105,"Comedy,Romance",38000000,299288605,6.6,2192,11.841,"When she receives word that her longtime platonic pal Michael O'Neal is getting married to debutante Kimberly Wallace, food critic Julianne Potter realizes her true feelings for Michael -- and sets out to sabotage the wedding."
3098,18,The Fifth Element,1997-05-02,126,"Adventure,Fantasy,Action,Thriller,Fiction",90000000,263920180,7.5,9171,39.124,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity."
3099,9427,The Full Monty,1997-08-13,91,Comedy,3500000,257850122,7.0,1315,11.773,"Sheffield, England. Gaz, a jobless steelworker in need of quick cash persuades his mates to bare it all in a one-night-only strip show."
